indicator,survey_id,survey_mid_calendar_quarter,area_id,restype,sex,age_group,n_cluster,n_obs,est,se,ci_l,ci_u
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,both,35-49,45,145,0.177452220414118,0.06452781461430028,0.08315949961235196,0.33911573477807744
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,both,40-44,31,43,0.24000651455872463,0.08419481020553525,0.11331328552705858,0.4383275751512231
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,both,45-49,23,29,0.04356745408348081,0.03170293998254837,0.010149962942843939,0.16830103289681927
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,15-19,38,71,0.024759063447987884,0.023357702492144486,0.0037980371192251725,0.14460960429008365
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,15-24,45,131,0.029286506378290684,0.019593911302434798,0.007753976535545305,0.10432713972138263
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,15-49,46,305,0.07074613394480332,0.02213530971104045,0.03786191864275682,0.12838032793518778
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,20-24,32,60,0.03531901290079263,0.034189807511111725,0.005096249959832503,0.2074095913629744
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,25-29,35,59,0.03015257597791462,0.020698416964205296,0.00770518423450772,0.11070008481387562
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,25-34,42,105,0.059872543385991475,0.027230105979548485,0.02408090754545455,0.14116656559535565
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,30-34,29,46,0.09275347010665262,0.04764257279810137,0.03260555329065397,0.23670778859006805
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,35-39,22,32,0.14851309771669247,0.09907239484441566,0.03619946689072337,0.4474987474383893
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,35-49,35,69,0.1663957016003025,0.0885148607564448,0.05405837957821919,0.41079884631991476
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,40-44,18,25,0.25409793258422925,0.12123179217426552,0.08862503264745969,0.5440829763184415
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,45-49,12,12,0.03130660649789946,0.03182005796826392,0.004116571378582913,0.201712012747671
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,male,50-54,9,12,0.20975888503509488,0.14408758284068937,0.04608507133362397,0.5932281553339204
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,15-19,37,73,0.04191403426243591,0.021458600896240076,0.015117763539148756,0.11086045427605835
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,15-24,45,142,0.049614246123314276,0.020685009446923648,0.021617657828901116,0.10979958937007292
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,15-49,46,346,0.11669712037726662,0.026687156329900166,0.07367773736491,0.17995519538738786
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,20-24,38,69,0.05783734330689008,0.03401805520584121,0.017738888081011026,0.17264610049794593
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,25-29,40,76,0.14421752593609002,0.04969753576686469,0.07109960663753312,0.2706223703089916
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,25-34,45,128,0.1425658280343496,0.039123937138390345,0.08155238434932403,0.2374263135678801
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,30-34,29,52,0.1397877404369989,0.05432055749122543,0.06282893456366609,0.2825884723060048
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,35-39,29,41,0.22681869295164267,0.08531593511838764,0.10157399644596425,0.43220304821000727
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,35-49,41,76,0.18852128788141384,0.05954961812311203,0.09774053747166142,0.33254235486984984
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,40-44,16,18,0.2178071958554184,0.10566991898157267,0.07626897818238373,0.4842983197277115
prev,MWI2010DHS,CY2010Q3,MWI_3_13,all,female,45-49,16,17,0.05366382655587635,0.05275037180997467,0.007349748564287984,0.30279886961578206
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,15-19,30,115,0.026148532746675435,0.015753662596738865,0.007923339659660612,0.08279648023137401
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,15-24,30,208,0.023710437969257196,0.012203320812969778,0.008568138192096812,0.06388893493005317
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,15-49,30,467,0.07508044696723225,0.0201513223511373,0.04394419120301569,0.12538471806871102
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,20-24,28,93,0.020846062009159963,0.020498662706573956,0.002965153191381225,0.13225217848223292
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,25-29,28,73,0.09374168792034816,0.03982697408592867,0.03963415936473534,0.20588021075629725
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,25-34,30,132,0.09759974112520631,0.03863916583982194,0.043770254339083894,0.20353861416327962
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,30-34,28,59,0.10266896784122782,0.058180887214918986,0.03211856990807105,0.28289334376283715
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,35-39,24,51,0.18432892671654746,0.06648797799471891,0.08674700590050233,0.3496537121627815
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,35-49,29,127,0.13631285800145032,0.036819996191629685,0.07876641047555573,0.2256063149155012
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,40-44,20,34,0.1356372971496023,0.07060720561403128,0.04598393432530195,0.3381324583190293
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,both,45-49,23,42,0.0776092448169311,0.04462822039600443,0.024193876110362056,0.22211206687509155
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,15-19,25,49,0.025414126961305218,0.025471482825105654,0.0034624175545760645,0.16368040156720787
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,15-24,27,89,0.024593619163880667,0.017122790941649858,0.006185411293066359,0.09267708528667443
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,15-49,30,199,0.05207499145206623,0.018347730278343702,0.025829056837818377,0.10219277069856957
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,20-24,20,40,0.023666131010095678,0.023379517209464816,0.0033251134849459477,0.14974550592558655
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,25-29,21,33,0.060449074363117805,0.04286446442400982,0.014445377270518884,0.22022229530466506
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,25-34,28,56,0.07072937442616968,0.03573375874556936,0.02555298860632824,0.18094439292644698
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,30-34,20,23,0.0847334081471623,0.06365362377179437,0.018192555264656678,0.31625674767098133
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,35-39,17,23,0.12578760391803093,0.0791921314593372,0.03388827249769642,0.37115929305405443
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,35-49,24,54,0.0757191816958821,0.03925787493351597,0.026560566649897407,0.19741005042366555
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,40-44,11,13,0.08965173266427602,0.08682643078496327,0.012092211311697625,0.44207090131365034
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,45-49,12,18,0,0,NA,NA
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,male,50-54,9,13,0.20631650672033802,0.10261205861760925,0.07073442312587616,0.47026402497510184
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,15-19,26,66,0.02668859092703462,0.019750867336891548,0.006140376401930597,0.10849316800494282
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,15-24,30,119,0.023040318307890294,0.013490949243395231,0.007232615059184361,0.07092913415086147
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,15-49,30,268,0.09323043890391863,0.029324936443077813,0.04951525379574817,0.16869045205792313
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,20-24,27,53,0.01862651623667727,0.018435873717345112,0.002622267563042619,0.12050636774978103
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,25-29,21,40,0.1207496112533533,0.06002627026186982,0.04337692931345755,0.29375428770101125
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,25-34,27,76,0.11880036951127469,0.05997344161629212,0.042020364386230566,0.2929691051483356
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,30-34,21,36,0.1163107841533702,0.08387904376482416,0.025898474374715295,0.39452092245593434
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,35-39,21,28,0.24145240480431585,0.08813513968774012,0.11027966628310666,0.44977527263096023
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,35-49,28,73,0.1873189856316152,0.04661309378457381,0.11227928224312611,0.295799014666386
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,40-44,17,21,0.16557775679320083,0.0780794997873373,0.061517927600102204,0.37527272209256934
prev,MWI2010DHS,CY2010Q3,MWI_3_14,all,female,45-49,16,24,0.14508676587651487,0.08296629244377621,0.04374448060424535,0.3863511094684829
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,15-19,30,147,0.020715075199896307,0.010698411066500199,0.0074681867283819155,0.05613015842785834
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,15-24,31,219,0.03223084392181824,0.012420932940364175,0.015030274341215594,0.06776147076908676
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,15-49,31,553,0.12153211044915058,0.02059465312985036,0.08658351329324274,0.16799291401190689
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,20-24,28,72,0.055830650083093625,0.028624153851400554,0.019991225105255396,0.1463279219281428
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,25-29,29,96,0.14817617458370747,0.04032478470075748,0.08508756924703076,0.24549076617766075
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,25-34,30,173,0.14845175379943684,0.025042127923662526,0.10573577400664352,0.20447862266550534
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,30-34,26,77,0.14882648800600887,0.04190045485393659,0.08377528302030313,0.2505753476145021
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,35-39,25,56,0.22246070986837524,0.06793610763514038,0.11699753394914468,0.38187621741785266
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,35-49,31,161,0.20953916921386084,0.05556054905451205,0.12076932374459783,0.3384417921723793
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,40-44,25,49,0.24815760422302613,0.09023766342254518,0.1134068733492228,0.4599556523494135
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,both,45-49,26,56,0.15657002593847452,0.07226425728976303,0.05971977651764107,0.3517325333445123
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,15-19,28,74,0.01973993973286846,0.014288936553469696,0.004714054986503419,0.07886520616515079
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,15-24,29,101,0.03453794357425171,0.017718160374159977,0.012468657538075014,0.09202919180112339
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,15-49,31,246,0.1088667274921152,0.025024331010457822,0.06862982624363015,0.1684280034220583
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,20-24,18,27,0.07763547748098243,0.056386797891416963,0.0176665137158752,0.282605875101084
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,25-29,20,40,0.13772121059528014,0.07103810953140323,0.047120150421381526,0.34031151006029486
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,25-34,29,74,0.10475729180855566,0.04330954767577492,0.04519288059238596,0.2243789662429765
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,30-34,21,34,0.060329760591884225,0.037088501829481244,0.017498685491950782,0.1879431170284625
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,35-39,20,28,0.1855782765522247,0.07560048226269761,0.07875491279140183,0.3778655809482516
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,35-49,29,71,0.21457155270214412,0.06801396825308208,0.11021276780305596,0.37599029698201386
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,40-44,14,22,0.24473776179489856,0.11481009680345579,0.0875225518674883,0.5226124100157525
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,45-49,13,21,0.22009320220491907,0.13740285674379082,0.055513213180533115,0.5753648399341009
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,male,50-54,13,18,0.15172968087225633,0.09471142559285026,0.04056784773377308,0.43074017597290243
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,15-19,30,73,0.02184523663026039,0.012326404558627721,0.0071581901862919845,0.06470304275735751
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,15-24,31,118,0.030061178561651022,0.01641699957000882,0.01017547585545951,0.08545399319626698
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,15-49,31,307,0.13248092703291325,0.02368761059543453,0.0925274886530222,0.1861474479576445
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,20-24,25,45,0.04259411412392651,0.033271799075367925,0.0089100746895793715,0.18043545302440137
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,25-29,28,56,0.15635597501135465,0.05248523275301382,0.07831631823559557,0.2878714180255717
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,25-34,30,99,0.18286903418362607,0.03731660544109245,0.12062864864435209,0.26745610174460577
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,30-34,24,43,0.21917547164557133,0.06319795584162069,0.11980728573174187,0.36663055326331057
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,35-39,19,28,0.2587981837546385,0.10591777837825372,0.10579293556945552,0.5075006417980642
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,35-49,30,90,0.20524694789668974,0.058407540234420095,0.11348684384691077,0.34253311127747244
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,40-44,21,27,0.25127493071604234,0.10153937492178032,0.10436464574517554,0.4914993294548875
prev,MWI2010DHS,CY2010Q3,MWI_3_15,all,female,45-49,22,35,0.11372157465567416,0.05346467097996632,0.04339844179762193,0.2662773596092347
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,15-19,28,106,0.02899544597200541,0.020609006865524065,0.0070624956760071056,0.11140043084430253
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,15-24,29,190,0.045134802475346285,0.017151297690827877,0.02120861799652153,0.09347520326485469
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,15-49,30,430,0.10007426349436356,0.01532203905376626,0.07379166346503739,0.13436004472382226
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,20-24,28,84,0.06420211793902854,0.02439977365128971,0.030021972131400843,0.1320008092523193
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,25-29,26,64,0.09283109829161004,0.03750710155926883,0.04099374783223859,0.19676836878590975
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,25-34,29,122,0.10316968375872373,0.0328263490931708,0.05427698865551629,0.18737864016758815
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,30-34,25,58,0.11491338571110928,0.04684067138160229,0.0500138556794819,0.2425285619793039
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,35-39,23,54,0.22918568836088754,0.05607150328644637,0.1376431514413795,0.3564455284870553
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,35-49,30,118,0.18312554653500757,0.02922890460431413,0.13258701339386014,0.247432880304843
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,40-44,21,37,0.181346257387993,0.05655015426678758,0.09501984190160692,0.3184989345530587
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,both,45-49,17,27,0.1014005010833795,0.04635737951948754,0.03996714097413151,0.23422450850867932
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,15-19,22,57,0,0,NA,NA
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,15-24,27,87,0.009092480358023266,0.008667451140899743,0.0013905527228837277,0.05701776831106287
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,15-49,30,192,0.07746353091505437,0.017691389572636648,0.049147683198872943,0.12003378681675202
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,20-24,22,30,0.02590647636363848,0.02473751567378022,0.003878911411234067,0.1537204065524205
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,25-29,12,19,0,0,NA,NA
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,25-34,24,47,0.0607974073145347,0.030037532399296425,0.022565563147418578,0.15362318679830028
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,30-34,18,28,0.10949134371863202,0.05603120249740235,0.03833647097807214,0.2749539142145076
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,35-39,18,25,0.2444961264037482,0.07448297339265285,0.12802965304737426,0.41632518122269957
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,35-49,27,58,0.18838636134813752,0.037181816781044735,0.1259604309588924,0.27211841437109946
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,40-44,14,18,0.1755512066939795,0.08615665918537169,0.062180750356673656,0.40611320879323276
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,45-49,12,15,0.10546974782676972,0.07143520530957086,0.02603618928222087,0.34211967377844366
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,male,50-54,10,12,0,0,NA,NA
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,15-19,25,49,0.06517166210806859,0.04566544627404737,0.01579070485152875,0.23249803998641477
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,15-24,28,103,0.07623510875806386,0.028521772429455413,0.03597024598110591,0.1543554681224556
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,15-49,30,238,0.11939985211859783,0.020846058745121944,0.08419146215252785,0.16665282286023145
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,20-24,24,54,0.08524579785411736,0.031617264415795,0.04039555044601302,0.1710177171400897
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,25-29,23,45,0.14129648434384756,0.0562299545114857,0.06221712182853779,0.2898241223814874
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,25-34,28,75,0.13263578770895754,0.04730998748336947,0.06393255473876369,0.25505232867686595
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,30-34,20,30,0.12004967964838936,0.061195912293986215,0.04199243397904913,0.2980599463610578
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,35-39,18,29,0.2133839376742018,0.08266151266940605,0.09364937089417713,0.41594894031455876
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,35-49,27,60,0.17775981802691368,0.05235320356187122,0.09677047893199964,0.3037373175631575
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,40-44,14,19,0.1861972917758875,0.08539291224354693,0.0704733461744298,0.4084488712582442
prev,MWI2010DHS,CY2010Q3,MWI_3_16,all,female,45-49,9,12,0.09641568536364856,0.08335094230271631,0.016097269823957067,0.41034878863053675
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,15-19,29,102,0.03911609023200902,0.02745449288272654,0.009632206108941976,0.14558271201855597
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,15-24,30,169,0.0388730972601477,0.018931859083892288,0.014760263620587922,0.09844156486589889
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,15-49,30,407,0.1433979442677559,0.03507947254142016,0.0872981060097048,0.22659839338656743
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,20-24,30,67,0.038521825477879044,0.022748019932277135,0.011879128042363098,0.11779572407479044
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,25-29,27,67,0.24631912791398397,0.05533710704544806,0.15413063400541963,0.36955700858596313
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,25-34,30,122,0.2095264353137861,0.05288980135025488,0.12415413504585095,0.3313914853742808
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,30-34,25,55,0.16159831854432918,0.06335107925617207,0.07156842036500541,0.3252113202481383
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,35-39,24,53,0.2772679453860258,0.07370403708009521,0.15723677967464675,0.4409826000862996
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,35-49,29,116,0.2321238165038127,0.059911906157694754,0.1352690534060725,0.36875478224756675
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,40-44,21,36,0.12369993429971225,0.05228329619620518,0.051996028285334124,0.2664892605376607
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,both,45-49,18,27,0.2769287133664371,0.11639024757091725,0.10919516048280806,0.5447532185956143
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,15-19,23,53,0,0,NA,NA
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,15-24,27,77,0.015395267597924154,0.01565284001337575,0.0020618365230160914,0.10581068493077869
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,15-49,30,174,0.11330762323543724,0.03427381592586463,0.061455885701831525,0.199603701314506
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,20-24,20,24,0.046546736807429594,0.046284226599470034,0.0062824815771189545,0.27376986840837253
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,25-29,17,22,0.12854534862660139,0.07291133706046928,0.03956038750369675,0.345653239712297
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,25-34,25,41,0.12269180407080343,0.06308660223129577,0.04245566998238005,0.3060919203958912
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,30-34,15,19,0.11600035974844884,0.10730783785432989,0.01659572880787491,0.5050368821406142
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,35-39,19,26,0.3384599916433967,0.10460081440977557,0.16997648663943887,0.5610599144300766
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,35-49,24,56,0.24804468019351825,0.07186585934327747,0.13420902643909777,0.4124391818339975
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,40-44,14,20,0.19508132542082884,0.08306599802400887,0.07913592735562891,0.4060053493364517
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,45-49,8,10,0.11654096553871998,0.11092276814862505,0.015717105507583786,0.5214766660020136
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,male,50-54,9,10,0.032478201156829666,0.033769524941721064,0.004068236004563887,0.2162138253741626
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,15-19,27,49,0.08821327626942403,0.06414157533382026,0.019866495997355384,0.315907614050082
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,15-24,30,92,0.06157353999245441,0.030127040060065488,0.023070123010951554,0.1541953587065556
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,15-49,30,233,0.16923191286616734,0.04005668073206846,0.10437789366839746,0.26256861319669356
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,20-24,23,43,0.033224471643037816,0.020448717830981362,0.00977176977030421,0.10688886164916878
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,25-29,24,45,0.3084671985910518,0.07829166406113584,0.17848469518930277,0.478028549911922
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,25-34,28,81,0.2597302738428223,0.06328026756786999,0.1554556905326216,0.4007585689469577
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,30-34,19,36,0.19119673786882532,0.0722584411524038,0.08642571170507209,0.37135084033976884
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,35-39,18,27,0.21012756044177908,0.09774007931085187,0.07738950519641355,0.45761263108526473
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,35-49,27,60,0.21489038846829772,0.06304672093131221,0.11628191937742204,0.3627911804799767
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,40-44,14,16,0.020042590379765503,0.02015735822417622,0.00272882274950157,0.13260188920618357
prev,MWI2010DHS,CY2010Q3,MWI_3_17,all,female,45-49,12,17,0.39439213559125763,0.16230476118551548,0.14669641472519396,0.7115607141113202
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,15-19,29,95,0.027672898960026622,0.015957283709437983,0.008822424539964837,0.08341088766375397
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,15-24,31,187,0.036438140328895356,0.013310456981237784,0.01767017773579487,0.07364559696507839
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,15-49,31,454,0.14324760715506535,0.01623864353384341,0.11426416755393146,0.17810448808872897
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,20-24,30,92,0.04553123966335938,0.02019884797171187,0.01882204552347798,0.10604542264419405
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,25-29,30,90,0.14790337084239122,0.036453162053548274,0.08963875572534098,0.23429287396455672
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,25-34,31,149,0.16754027485016973,0.029239942211900877,0.11773389618718015,0.2328558034376919
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,30-34,25,59,0.20064576620347768,0.05820864455966142,0.10972186211224746,0.3382861437370799
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,35-39,25,45,0.26190611974109596,0.05648173363890135,0.1667625713590075,0.3861742838884455
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,35-49,31,118,0.2854077578180276,0.03729244482074925,0.21820217685996712,0.36368345636752863
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,40-44,18,28,0.3365683906512166,0.08396659927158691,0.1953437391454079,0.5145972514454907
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,both,45-49,25,45,0.27870114821639014,0.0630344552092395,0.17286105939313065,0.4166982131068704
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,15-19,24,44,0,0,NA,NA
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,15-24,30,80,0.006556382871769233,0.006432241053836223,9.517257512789231e-4,0.043722092881799186
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,15-49,31,188,0.12405250643999659,0.02150512089697187,0.08766462124298935,0.17268545318701797
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,20-24,22,36,0.015118357197910697,0.014960311065826768,0.0021377567447524205,0.09909102836421149
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,25-29,23,34,0.09941256890530974,0.0743080657340353,0.021237845330546165,0.3596154756283332
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,25-34,28,57,0.12432805376370716,0.051953073175719934,0.052781793000043827,0.265656546775275
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,30-34,15,23,0.16333004690093483,0.07714726345606036,0.06064542080646615,0.3711784682945396
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,35-39,16,22,0.24121866734982433,0.07872091687833815,0.12036513361010756,0.4248138710617559
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,35-49,26,51,0.3208391920853602,0.05176692867048559,0.22872098121438839,0.42940272755623804
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,40-44,11,13,0.4482484952390009,0.14373685998406652,0.2063892583741176,0.7173448467573023
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,45-49,13,16,0.36065126456891,0.11335676030640002,0.17710589429195348,0.5965240106117996
prev,MWI2010DHS,CY2010Q3,MWI_3_18,all,male,50-54,8,9,0,0,NA,NA
