district32,year,quarter,anc_clients,anc_known_pos,anc_known_neg,anc_already_art,anc_tested,anc_tested_pos,births_facility
Lilongwe,2019,1,12792,293,720,292,11612,169,10358
Lilongwe,2019,2,12764,256,481,253,11645,144,10531
Lilongwe,2019,3,13922,261,538,260,12750,144,11644
Lilongwe,2019,4,14140,309,58,308,13561,171,11216
Lilongwe,2020,1,14169,259,460,257,13678,142,10471
Lilongwe,2020,2,13393,283,321,282,12787,163,9471
Lilongwe,2020,3,13813,281,153,277,13121,119,11285
Lilongwe,2020,4,13367,280,306,272,12689,121,10298
Lilongwe,2021,1,13231,323,227,323,12508,146,9974
Lilongwe,2021,2,12943,283,89,282,12226,128,9671
Lilongwe,2021,3,13702,270,100,268,13164,138,10434
Lilongwe,2021,4,16243,249,82,244,12542,139,10685
Lilongwe,2022,1,13710,234,183,229,12782,107,10527
Lilongwe City,2011,3,6241,142,146,0,5282,349,6679
Lilongwe City,2011,4,9009,303,107,0,8229,711,6792
Lilongwe City,2012,1,8563,307,310,0,7646,595,6553
Lilongwe City,2012,2,6772,283,166,215,4909,452,6762
Lilongwe City,2012,3,8501,225,40,51,7261,548,6863
Lilongwe City,2012,4,8299,286,93,245,7204,530,7858
Lilongwe City,2013,1,7532,278,587,198,7452,532,7089
Lilongwe City,2013,2,8056,259,79,209,7360,584,7035
Lilongwe City,2013,3,8762,297,137,247,7335,490,7427
Lilongwe City,2013,4,8363,311,355,295,7614,559,7587
Lilongwe City,2014,1,8406,295,143,241,7560,471,7509
Lilongwe City,2014,2,7673,297,423,267,6634,414,7453
Lilongwe City,2014,3,8656,318,202,275,7865,484,8622
Lilongwe City,2014,4,8817,288,1167,261,7255,477,8037
Lilongwe City,2015,1,8876,384,113,357,8252,505,7555
Lilongwe City,2015,2,8578,384,133,371,7935,470,7446
Lilongwe City,2015,3,8506,459,107,437,7703,437,7760
Lilongwe City,2015,4,8098,396,155,389,7540,451,6755
Lilongwe City,2016,1,7881,362,109,344,7269,423,7466
Lilongwe City,2016,2,9590,478,221,476,8675,467,8183
Lilongwe City,2016,3,8816,392,184,394,8132,473,8327
Lilongwe City,2016,4,8576,371,195,359,8089,373,8023
Lilongwe City,2017,1,8957,515,212,525,8112,425,6801
Lilongwe City,2017,2,8853,493,450,487,7796,364,8293
Lilongwe City,2017,3,9508,507,379,502,8519,443,8533
Lilongwe City,2017,4,8815,460,266,469,8031,415,9314
Lilongwe City,2018,1,9202,451,238,441,8422,417,8759
Lilongwe City,2018,2,9639,491,201,500,8864,417,9195
Lilongwe City,2018,3,10308,591,319,592,9255,374,9070
Lilongwe City,2018,4,9547,511,135,509,8739,390,8509
Lilongwe City,2019,1,9305,486,203,482,8553,291,8919
Lilongwe City,2019,2,10086,514,225,509,9206,301,9279
Lilongwe City,2019,3,10724,487,155,486,10006,343,9850
Lilongwe City,2019,4,10661,535,104,535,9973,301,9481
Lilongwe City,2020,1,11512,593,175,592,10685,240,9266
Lilongwe City,2020,2,10398,566,73,568,9724,243,9405
Lilongwe City,2020,3,10437,625,191,622,9465,288,9492
Lilongwe City,2020,4,8890,511,123,510,8069,204,9627
Lilongwe City,2021,1,9274,522,104,522,8582,265,8207
Lilongwe City,2021,2,8895,541,47,532,8407,228,8895
Lilongwe City,2021,3,8779,463,125,451,8625,243,9179
Lilongwe City,2021,4,9366,475,40,466,8683,253,9338
Lilongwe City,2022,1,9089,512,240,506,8281,177,9115
Machinga,2011,3,8869,111,53,0,7960,500,6892
Machinga,2011,4,9457,172,164,0,8586,555,6694
Machinga,2012,1,8219,155,57,0,7127,374,5324
Machinga,2012,2,7313,217,70,311,6274,296,5525
Machinga,2012,3,8119,157,283,136,5979,342,7993
Machinga,2012,4,11453,190,34,165,6933,372,7572
Machinga,2013,1,9541,182,27,170,8109,417,5744
Machinga,2013,2,7490,142,475,136,5638,280,6037
Machinga,2013,3,8444,161,22,150,7368,313,7513
Machinga,2013,4,9146,228,36,212,6440,320,6680
Machinga,2014,1,9148,284,33,260,5695,295,6148
Machinga,2014,2,7206,170,14,156,6280,225,5630
Machinga,2014,3,7570,227,28,198,6470,281,7276
Machinga,2014,4,8065,277,13,258,6881,275,6847
Machinga,2015,1,8800,326,107,315,7335,305,6330
Machinga,2015,2,8119,224,34,227,6756,275,5971
Machinga,2015,3,8066,219,66,194,6184,248,6993
Machinga,2015,4,8371,262,54,268,6865,251,5874
Machinga,2016,1,7890,287,84,281,6993,257,5582
Machinga,2016,2,7241,247,55,246,6513,246,5394
Machinga,2016,3,7258,307,56,306,6770,236,6495
Machinga,2016,4,7423,310,147,310,6829,247,5260
Machinga,2017,1,7643,324,22,324,7183,229,5948
Machinga,2017,2,7003,297,15,291,6476,191,5891
Machinga,2017,3,7964,360,21,353,7501,241,5678
Machinga,2017,4,7279,318,113,306,6737,183,6453
Machinga,2018,1,7762,326,41,327,7347,201,6456
Machinga,2018,2,7020,293,55,284,6424,154,6519
Machinga,2018,3,7948,354,57,345,7478,180,7034
Machinga,2018,4,8246,403,137,371,7662,175,6414
Machinga,2019,1,7343,393,120,395,6736,142,5808
Machinga,2019,2,7053,357,224,350,6658,129,6156
Machinga,2019,3,7616,343,302,336,6906,113,7248
Machinga,2019,4,8753,411,129,410,7926,145,6500
Machinga,2020,1,9052,381,76,381,8432,127,6414
Machinga,2020,2,8128,296,38,295,7767,115,6226
Machinga,2020,3,9073,317,39,319,7952,92,6506
Machinga,2020,4,8307,375,20,358,7583,110,5901
Machinga,2021,1,8037,360,30,360,7635,115,5732
Machinga,2021,2,7764,327,11,323,7528,86,5657
Machinga,2021,3,8100,310,14,310,8013,105,6415
Machinga,2021,4,7602,336,18,328,7430,94,6111
Machinga,2022,1,8365,289,25,289,7980,82,6235
Mangochi,2011,3,11502,128,247,0,4977,423,7828
Mangochi,2011,4,11967,190,205,0,7962,593,7981
Mangochi,2012,1,12566,190,176,0,6829,532,7130
Mangochi,2012,2,12972,185,162,115,5309,387,6962
Mangochi,2012,3,11018,188,243,155,6587,472,8852
Mangochi,2012,4,12468,264,237,225,6939,504,9017
Mangochi,2013,1,12402,272,224,229,8579,563,6747
Mangochi,2013,2,9767,186,243,167,5813,386,6764
Mangochi,2013,3,10495,263,105,208,7227,477,8173
Mangochi,2013,4,11498,288,288,254,7852,491,7900
Mangochi,2014,1,11382,322,174,298,7718,431,7125
Mangochi,2014,2,10221,247,298,231,6429,366,6910
Mangochi,2014,3,10722,365,270,330,7805,448,9118
Mangochi,2014,4,12657,378,280,367,9433,455,9141
Mangochi,2015,1,12416,424,293,391,9710,506,7476
Mangochi,2015,2,11249,369,199,358,8760,429,7393
Mangochi,2015,3,11077,394,377,362,8828,466,8772
Mangochi,2015,4,11725,443,275,417,9632,498,8339
Mangochi,2016,1,12118,468,274,437,10187,526,7982
Mangochi,2016,2,11711,431,251,394,10063,481,7897
Mangochi,2016,3,12300,469,374,440,10906,455,8747
Mangochi,2016,4,11360,492,243,486,10180,452,7453
Mangochi,2017,1,11889,489,172,486,10236,441,8068
Mangochi,2017,2,11131,438,172,437,9587,376,8803
Mangochi,2017,3,12393,649,156,610,11386,433,9061
Mangochi,2017,4,11003,517,171,506,10145,409,8918
Mangochi,2018,1,12412,659,159,641,11497,379,9835
Mangochi,2018,2,12599,637,408,632,11487,362,9573
Mangochi,2018,3,14341,823,150,810,13410,408,11123
Mangochi,2018,4,13794,880,981,877,11912,343,9750
Mangochi,2019,1,12875,804,190,795,11780,315,8687
Mangochi,2019,2,12027,668,151,651,11052,274,8632
Mangochi,2019,3,12754,775,137,772,11895,264,10587
Mangochi,2019,4,13636,822,487,818,12192,275,10048
Mangochi,2020,1,13342,773,184,776,12421,201,9103
Mangochi,2020,2,12122,683,160,688,11759,171,9517
Mangochi,2020,3,13184,718,279,719,12074,213,10325
Mangochi,2020,4,12183,720,176,729,11310,209,10289
Mangochi,2021,1,13528,786,96,781,11459,181,9421
Mangochi,2021,2,12683,662,146,657,11855,173,10365
Mangochi,2021,3,13443,728,287,728,12361,191,11345
Mangochi,2021,4,14741,647,336,644,12212,171,11290
Mangochi,2022,1,13843,734,241,734,12803,214,11162
Mchinji,2011,3,5998,47,181,0,3189,92,5321
Mchinji,2011,4,6840,76,26,0,4529,121,5521
Mchinji,2012,1,7194,85,63,0,4691,149,4465
Mchinji,2012,2,5375,46,34,33,2292,65,4144
Mchinji,2012,3,5401,145,122,39,3212,94,5861
Mchinji,2012,4,5868,57,47,37,2258,46,5471
Mchinji,2013,1,6005,74,33,63,3157,102,4572
Mchinji,2013,2,4850,49,36,45,2859,91,4355
Mchinji,2013,3,5294,68,56,57,4051,102,5136
Mchinji,2013,4,5610,67,108,56,4582,121,4857
Mchinji,2014,1,5991,83,107,75,4552,118,4475
Mchinji,2014,2,5038,76,33,55,3471,105,4522
Mchinji,2014,3,5714,65,58,57,4972,109,5392
Mchinji,2014,4,5681,148,94,76,4919,134,5444
Mchinji,2015,1,5958,106,233,93,5122,108,4897
Mchinji,2015,2,5766,104,131,101,4609,93,4388
Mchinji,2015,3,5191,89,59,76,4696,104,5116
Mchinji,2015,4,5674,140,52,126,5130,102,4687
Mchinji,2016,1,5281,111,15,107,5050,112,4703
Mchinji,2016,2,4837,92,111,90,4531,73,4565
Mchinji,2016,3,5188,108,240,107,4814,91,5466
Mchinji,2016,4,5991,123,24,123,5814,95,5164
Mchinji,2017,1,6007,127,14,118,5861,124,5091
Mchinji,2017,2,4815,112,54,114,4719,71,5065
Mchinji,2017,3,5520,131,15,130,5548,86,5475
Mchinji,2017,4,5288,142,69,143,5044,81,5196
Mchinji,2018,1,5455,156,5,155,5268,83,5344
Mchinji,2018,2,5395,135,20,132,5229,74,4725
Mchinji,2018,3,5713,124,50,126,5527,79,4784
Mchinji,2018,4,4573,133,11,130,4860,59,4680
Mchinji,2019,1,5002,134,82,129,4775,62,4154
Mchinji,2019,2,3907,89,17,87,3788,41,4313
Mchinji,2019,3,5420,129,0,130,5272,63,5105
Mchinji,2019,4,5140,126,36,124,4975,69,4764
Mchinji,2020,1,5575,148,12,149,5404,55,4587
Mchinji,2020,2,5695,139,6,138,5325,56,4487
Mchinji,2020,3,6621,117,15,118,5400,61,4690
Mchinji,2020,4,5054,136,42,135,4782,58,3605
Mchinji,2021,1,5184,152,3,152,4903,43,4387
Mchinji,2021,2,4996,135,10,135,4743,44,4169
Mchinji,2021,3,5114,103,10,103,4974,42,4809
Mchinji,2021,4,7886,122,4,122,4765,31,4536
Mchinji,2022,1,5115,104,3,104,4871,30,4403
Mulanje,2011,3,6616,164,233,0,5190,656,3823
Mulanje,2011,4,6401,198,92,0,5518,564,4318
Mulanje,2012,1,7200,203,251,0,5704,646,4076
Mulanje,2012,2,7243,181,108,52,4972,566,4111
Mulanje,2012,3,7210,198,41,191,5577,563,4456
Mulanje,2012,4,6790,230,272,215,4827,470,4358
Mulanje,2013,1,6719,230,180,196,5003,471,3830
Mulanje,2013,2,6405,242,223,176,4215,436,4175
Mulanje,2013,3,6912,248,134,166,5053,470,4451
Mulanje,2013,4,6659,273,150,196,4930,437,4228
Mulanje,2014,1,6330,299,155,220,4325,391,4358
Mulanje,2014,2,6387,343,200,247,4935,416,4597
Mulanje,2014,3,6329,326,125,313,5171,475,4379
Mulanje,2014,4,6558,381,174,298,4900,436,4420
Mulanje,2015,1,7026,439,198,426,5942,447,4042
Mulanje,2015,2,6096,350,173,287,4916,350,4691
Mulanje,2015,3,6740,465,254,443,5311,389,4689
Mulanje,2015,4,5981,386,164,281,4692,307,3978
Mulanje,2016,1,6510,457,141,415,5201,357,4405
Mulanje,2016,2,6850,488,230,389,5410,388,4413
Mulanje,2016,3,6102,469,102,463,5349,324,4630
Mulanje,2016,4,5750,455,103,449,5090,277,4440
Mulanje,2017,1,6011,485,62,476,5394,312,4697
Mulanje,2017,2,6478,524,120,527,5726,282,4875
Mulanje,2017,3,6980,612,110,605,6201,345,5004
Mulanje,2017,4,6676,611,113,610,5864,250,5135
Mulanje,2018,1,6622,609,157,598,5927,273,4814
Mulanje,2018,2,6507,544,77,533,5868,274,4885
Mulanje,2018,3,6968,625,40,625,6230,298,4803
Mulanje,2018,4,6430,628,131,624,5618,257,4670
Mulanje,2019,1,6489,644,66,598,5735,210,4665
Mulanje,2019,2,6294,555,3,560,5730,185,4466
Mulanje,2019,3,8814,643,14,625,6123,215,5653
Mulanje,2019,4,6612,636,213,621,5831,194,5655
Mulanje,2020,1,6731,634,16,632,6065,181,5582
Mulanje,2020,2,6643,612,21,613,5999,164,5305
Mulanje,2020,3,7234,727,71,729,6463,148,5111
Mulanje,2020,4,5897,616,34,615,5318,112,5031
Mulanje,2021,1,7118,704,12,709,5683,100,5260
Mulanje,2021,2,6334,559,6,560,5781,109,4932
Mulanje,2021,3,6080,527,8,522,5532,119,4930
Mulanje,2021,4,5963,545,10,546,5510,104,5040
Mulanje,2022,1,6129,503,10,503,5579,107,5174
Mwanza,2011,3,1759,35,15,0,1112,51,1344
Mwanza,2011,4,1623,27,49,0,1306,66,1147
Mwanza,2012,1,1551,31,59,0,921,37,849
Mwanza,2012,2,624,3,2,3,56,0,998
Mwanza,2012,3,1155,24,12,22,789,34,1358
Mwanza,2012,4,1224,24,26,10,530,26,1361
Mwanza,2013,1,1710,38,77,36,1054,29,1071
Mwanza,2013,2,1195,17,24,17,839,23,1474
Mwanza,2013,3,1487,18,40,15,728,16,1765
Mwanza,2013,4,1484,21,21,18,771,73,1366
Mwanza,2014,1,1715,46,80,49,914,35,1267
Mwanza,2014,2,1027,17,4,14,478,13,1363
Mwanza,2014,3,1508,45,9,43,950,32,1703
Mwanza,2014,4,2114,57,81,52,1475,41,1414
Mwanza,2015,1,1798,46,68,44,1476,36,1163
Mwanza,2015,2,1387,44,25,42,1147,34,1354
Mwanza,2015,3,1649,43,7,39,1496,55,1457
Mwanza,2015,4,1814,70,8,67,1632,61,1231
Mwanza,2016,1,1835,87,6,82,1678,42,1347
Mwanza,2016,2,1659,50,19,50,1490,75,1282
Mwanza,2016,3,1496,55,21,54,1399,52,1558
Mwanza,2016,4,1448,60,14,60,1299,42,1258
Mwanza,2017,1,1790,72,28,70,1645,52,1267
Mwanza,2017,2,1458,55,13,57,1371,54,1354
Mwanza,2017,3,1736,67,10,68,1657,47,1323
Mwanza,2017,4,1628,65,17,65,1530,22,1434
Mwanza,2018,1,1570,75,16,74,1444,36,1328
Mwanza,2018,2,1357,73,13,72,1255,21,1269
Mwanza,2018,3,1599,71,23,71,1502,32,1204
Mwanza,2018,4,1705,75,18,75,1609,47,1301
Mwanza,2019,1,1585,53,23,52,1508,38,1116
Mwanza,2019,2,1361,68,18,71,1260,22,1358
Mwanza,2019,3,1615,57,6,57,1536,12,1579
Mwanza,2019,4,1731,56,1154,55,521,34,1565
Mwanza,2020,1,1663,76,0,74,1673,33,1423
Mwanza,2020,2,1669,81,0,81,1584,26,1472
Mwanza,2020,3,1255,69,74,69,1106,29,1578
Mwanza,2020,4,1553,83,0,82,1467,25,1455
Mwanza,2021,1,1667,82,7,68,1502,24,1373
Mwanza,2021,2,1512,67,5,67,1423,26,1390
Mwanza,2021,3,1580,49,2,49,1524,22,1552
Mwanza,2021,4,1512,44,0,44,1552,20,1414
Mwanza,2022,1,1639,58,0,58,1539,15,1446
Mzimba,2011,3,7751,96,332,0,5543,161,5351
Mzimba,2011,4,8038,68,444,0,5261,177,5641
Mzimba,2012,1,7928,70,163,0,5483,177,4720
Mzimba,2012,2,7125,67,278,58,4171,112,4215
Mzimba,2012,3,6565,46,240,36,4079,121,5234
Mzimba,2012,4,8266,75,295,77,4625,131,6257
Mzimba,2013,1,8521,103,296,85,6182,153,5078
Mzimba,2013,2,8116,83,574,78,5621,133,4839
Mzimba,2013,3,7115,89,272,84,5433,135,5282
Mzimba,2013,4,7559,90,598,79,5773,127,5896
Mzimba,2014,1,8346,121,396,103,6618,137,5334
Mzimba,2014,2,7358,103,265,85,5954,132,5189
Mzimba,2014,3,8048,131,329,118,6753,148,5615
Mzimba,2014,4,7785,127,743,122,6279,134,6040
Mzimba,2015,1,8152,230,327,126,7080,143,5412
Mzimba,2015,2,7456,127,268,109,6527,136,4976
Mzimba,2015,3,7585,123,195,102,6688,129,5578
Mzimba,2015,4,7329,107,289,110,6218,113,5957
Mzimba,2016,1,9099,133,159,128,7083,138,5291
Mzimba,2016,2,8441,140,198,139,6222,142,4777
Mzimba,2016,3,7251,143,166,110,6546,134,5543
Mzimba,2016,4,7836,111,329,108,7065,142,6061
Mzimba,2017,1,7981,160,173,156,7429,117,5228
Mzimba,2017,2,7425,174,131,132,6819,113,5320
Mzimba,2017,3,7459,120,271,119,6930,104,5804
Mzimba,2017,4,8089,213,403,192,7220,109,5879
Mzimba,2018,1,9661,233,759,230,7393,113,5724
Mzimba,2018,2,8135,178,376,177,7396,140,5752
Mzimba,2018,3,8832,231,507,236,8008,161,6199
Mzimba,2018,4,8195,184,323,180,7338,115,6353
Mzimba,2019,1,7949,177,240,179,7245,128,5706
Mzimba,2019,2,7084,156,188,151,6581,82,5350
Mzimba,2019,3,7908,214,134,215,7530,89,5862
Mzimba,2019,4,7351,161,62,161,7052,60,5591
Mzimba,2020,1,8117,191,172,190,7667,87,5034
Mzimba,2020,2,6864,170,53,164,6634,78,4644
Mzimba,2020,3,7993,174,129,159,7620,81,5398
Mzimba,2020,4,6947,180,227,176,6440,72,5660
Mzimba,2021,1,7098,175,15,174,6876,106,4771
Mzimba,2021,2,6439,151,9,148,6090,61,4721
Mzimba,2021,3,7869,133,60,127,6696,54,5460
Mzimba,2021,4,7538,131,111,132,6980,67,5673
Mzimba,2022,1,7693,157,25,154,6715,48,5167
Mzuzu City,2011,3,2189,68,69,0,1550,117,2041
Mzuzu City,2011,4,2155,47,63,0,1353,123,1960
Mzuzu City,2012,1,1943,65,27,0,1294,68,1722
Mzuzu City,2012,2,1999,54,73,54,1271,94,1757
Mzuzu City,2012,3,2047,69,178,55,1200,67,1980
Mzuzu City,2012,4,2037,63,220,52,812,60,2076
Mzuzu City,2013,1,1904,55,109,52,1105,66,1498
Mzuzu City,2013,2,1849,39,158,26,1179,67,1874
Mzuzu City,2013,3,1267,43,25,44,990,56,2037
Mzuzu City,2013,4,1875,35,172,28,1079,65,2091
Mzuzu City,2014,1,2178,75,46,70,1533,89,1905
Mzuzu City,2014,2,2019,65,51,57,1534,71,2003
Mzuzu City,2014,3,1801,36,174,38,1491,131,2175
Mzuzu City,2014,4,1820,53,13,52,1685,73,2087
Mzuzu City,2015,1,2076,69,24,66,1918,72,2274
Mzuzu City,2015,2,1916,74,24,72,1788,60,2067
Mzuzu City,2015,3,2090,62,36,63,1739,85,2051
Mzuzu City,2015,4,1892,82,28,80,1710,64,2204
Mzuzu City,2016,1,1933,89,18,92,1778,70,2118
Mzuzu City,2016,2,1984,94,35,91,1849,98,2148
Mzuzu City,2016,3,2213,110,24,109,2071,119,2267
Mzuzu City,2016,4,2186,120,24,119,2042,79,2204
Mzuzu City,2017,1,2195,124,17,123,2011,76,2143
Mzuzu City,2017,2,2102,127,23,121,1950,93,2704
Mzuzu City,2017,3,2344,124,10,118,2208,91,2660
Mzuzu City,2017,4,2413,145,19,167,2246,113,2614
Mzuzu City,2018,1,2278,115,33,118,2129,84,2369
Mzuzu City,2018,2,2286,116,26,117,2144,70,2307
Mzuzu City,2018,3,2486,127,71,140,2288,94,2376
Mzuzu City,2018,4,2401,133,190,131,2078,68,2299
Mzuzu City,2019,1,2345,126,78,126,2151,69,2247
Mzuzu City,2019,2,2392,120,41,120,2230,79,2358
Mzuzu City,2019,3,2496,122,77,119,2348,69,2507
Mzuzu City,2019,4,2211,98,50,98,2063,71,2469
Mzuzu City,2020,1,2250,97,75,96,2078,58,2241
Mzuzu City,2020,2,2772,105,14,105,2649,79,2834
Mzuzu City,2020,3,2454,118,0,113,2334,67,2545
Mzuzu City,2020,4,2264,100,18,98,2145,74,2510
Mzuzu City,2021,1,2484,121,3,121,2358,63,2192
Mzuzu City,2021,2,2373,117,3,113,2243,59,2294
Mzuzu City,2021,3,2454,117,16,117,2322,67,2473
Mzuzu City,2021,4,2453,122,11,122,2285,46,2565
Mzuzu City,2022,1,2494,106,7,106,2375,55,2448
Neno,2011,3,1418,82,37,0,1134,55,834
Neno,2011,4,1362,63,33,0,1124,48,876
Neno,2012,1,1353,71,86,0,979,35,852
Neno,2012,2,1219,48,37,45,849,32,836
Neno,2012,3,1435,69,76,67,1086,34,969
Neno,2012,4,1396,68,10,58,1120,44,959
Neno,2013,1,1190,50,22,49,1052,47,865
Neno,2013,2,1372,43,29,38,1102,38,868
Neno,2013,3,1404,74,32,63,1274,44,951
Neno,2013,4,1340,64,38,58,1191,38,1029
Neno,2014,1,1191,72,98,68,1000,33,985
Neno,2014,2,1281,74,18,68,1157,45,994
Neno,2014,3,1479,87,11,88,1353,35,1139
Neno,2014,4,1258,78,67,69,1093,44,1160
Neno,2015,1,1414,85,17,82,1306,34,1022
Neno,2015,2,1213,71,11,67,1111,28,1058
Neno,2015,3,1317,89,41,85,1165,21,1237
Neno,2015,4,1450,101,203,98,1114,28,1172
Neno,2016,1,1443,101,18,97,1301,25,1021
Neno,2016,2,1365,62,44,62,1243,26,1021
Neno,2016,3,1454,83,12,74,1337,43,1196
Neno,2016,4,1353,92,87,91,1165,26,1077
Neno,2017,1,1364,80,42,80,1225,31,1084
Neno,2017,2,1374,80,35,81,1246,19,1296
Neno,2017,3,1624,92,33,93,1466,35,1369
Neno,2017,4,1489,112,61,112,1313,24,1331
Neno,2018,1,1679,98,85,96,1445,24,1294
Neno,2018,2,1581,89,46,86,1440,19,1341
Neno,2018,3,1776,101,117,101,1522,18,1255
Neno,2018,4,1507,123,27,124,1348,21,1106
Neno,2019,1,1249,96,89,97,1330,25,1167
Neno,2019,2,1357,98,19,97,1227,15,1225
Neno,2019,3,1624,91,24,90,1536,20,1314
Neno,2019,4,1442,97,528,95,835,14,1332
Neno,2020,1,1579,102,36,101,1465,17,1331
Neno,2020,2,1483,80,25,79,1404,13,1335
Neno,2020,3,1882,132,26,127,1747,29,1362
Neno,2020,4,1593,95,5,94,1468,24,1294
Neno,2021,1,1545,102,68,102,1364,21,1284
Neno,2021,2,1568,104,10,105,1430,23,1282
Neno,2021,3,1645,93,28,94,1487,10,1324
Neno,2021,4,1502,83,8,83,1408,12,1249
Neno,2022,1,1567,82,0,82,1491,9,1275
Nkhatabay,2011,3,2139,60,33,0,1823,80,1493
Nkhatabay,2011,4,2029,26,57,0,1621,83,1445
Nkhatabay,2012,1,2063,40,32,0,1450,63,1289
Nkhatabay,2012,2,1699,19,16,23,1111,52,1439
Nkhatabay,2012,3,2028,33,21,26,1557,67,1453
Nkhatabay,2012,4,1906,20,31,19,1538,87,1456
Nkhatabay,2013,1,1848,43,28,44,1562,56,1461
Nkhatabay,2013,2,1818,31,135,31,1529,100,1603
Nkhatabay,2013,3,1998,25,20,26,1823,75,1602
Nkhatabay,2013,4,1900,29,53,24,1736,65,1540
Nkhatabay,2014,1,1919,39,67,36,1762,64,1666
Nkhatabay,2014,2,2006,49,72,43,1797,79,1776
Nkhatabay,2014,3,2055,54,98,58,1854,107,1691
Nkhatabay,2014,4,1907,46,157,39,1659,71,1715
Nkhatabay,2015,1,1925,62,10,58,1795,58,1538
Nkhatabay,2015,2,1941,51,19,47,1826,68,1771
Nkhatabay,2015,3,2124,55,67,50,1943,62,1632
Nkhatabay,2015,4,1802,49,7,49,1717,52,1520
Nkhatabay,2016,1,1588,49,3,47,1508,47,1432
Nkhatabay,2016,2,1928,47,5,48,1822,54,1630
Nkhatabay,2016,3,1967,65,16,61,1820,59,1711
Nkhatabay,2016,4,1986,67,32,66,1865,54,1621
Nkhatabay,2017,1,1824,46,92,46,1661,53,1773
Nkhatabay,2017,2,2121,58,18,50,2008,49,2058
Nkhatabay,2017,3,2319,82,28,81,2132,67,1552
Nkhatabay,2017,4,2038,80,19,78,1898,46,1715
Nkhatabay,2018,1,2229,64,201,59,1863,65,1984
Nkhatabay,2018,2,2166,70,32,70,2111,56,2250
Nkhatabay,2018,3,2449,66,16,66,2340,55,1939
Nkhatabay,2018,4,2130,74,38,73,1976,57,1909
Nkhatabay,2019,1,1955,74,15,74,1840,36,1897
Nkhatabay,2019,2,2141,68,4,68,2058,44,1987
Nkhatabay,2019,3,2084,75,16,75,1941,33,1789
Nkhatabay,2019,4,1924,84,3,84,1811,37,1646
Nkhatabay,2020,1,2037,85,5,78,1947,37,1951
Nkhatabay,2020,2,2087,67,0,69,2004,42,2022
Nkhatabay,2020,3,2221,93,0,93,2111,26,1118
Nkhatabay,2020,4,2141,76,2,74,1704,27,1680
Nkhatabay,2021,1,2275,72,12,75,2123,35,2033
Nkhatabay,2021,2,2290,77,16,74,2149,40,2131
Nkhatabay,2021,3,2284,85,1,84,2147,38,2020
Nkhatabay,2021,4,2262,76,1,77,2149,27,2019
Nkhatabay,2022,1,2478,89,8,89,2393,27,2183
Nkhotakota,2011,3,2931,54,29,0,2389,74,2078
Nkhotakota,2011,4,3614,44,20,0,2884,99,2398
Nkhotakota,2012,1,3776,39,227,0,2801,100,2120
Nkhotakota,2012,2,3478,72,37,40,2314,239,1664
Nkhotakota,2012,3,3624,54,85,83,2476,89,2102
Nkhotakota,2012,4,3491,60,25,59,1805,73,2173
Nkhotakota,2013,1,3715,49,30,21,2418,124,2305
Nkhotakota,2013,2,3590,35,19,34,2051,74,2431
Nkhotakota,2013,3,3543,67,67,70,2627,97,1794
Nkhotakota,2013,4,3643,68,26,60,2834,94,2258
Nkhotakota,2014,1,3436,53,58,51,2458,65,1351
Nkhotakota,2014,2,3652,67,139,57,2762,84,2446
Nkhotakota,2014,3,3452,66,147,64,2709,61,2779
Nkhotakota,2014,4,3824,91,250,72,2849,95,2018
Nkhotakota,2015,1,3896,108,195,76,3156,96,2510
Nkhotakota,2015,2,3948,75,420,86,2926,103,2859
Nkhotakota,2015,3,4351,81,563,74,3184,86,3114
Nkhotakota,2015,4,4129,114,62,105,3611,95,2708
Nkhotakota,2016,1,4144,74,136,71,3697,83,2960
Nkhotakota,2016,2,4155,99,47,90,3599,137,3005
Nkhotakota,2016,3,4186,123,55,122,3677,90,3082
Nkhotakota,2016,4,4094,117,48,115,3679,81,2952
Nkhotakota,2017,1,4043,120,84,117,3661,86,3327
Nkhotakota,2017,2,4259,116,50,114,3868,75,3539
Nkhotakota,2017,3,4449,93,46,87,4095,92,3412
Nkhotakota,2017,4,3975,102,64,109,3648,102,3409
Nkhotakota,2018,1,4161,104,70,103,3824,84,3725
Nkhotakota,2018,2,5244,123,220,123,4773,114,4074
Nkhotakota,2018,3,4942,82,26,86,4723,90,3721
Nkhotakota,2018,4,4265,93,150,94,3870,68,3466
Nkhotakota,2019,1,4113,79,97,82,3932,104,3408
Nkhotakota,2019,2,4261,90,40,87,4029,67,3829
Nkhotakota,2019,3,4912,115,115,111,4380,72,3840
Nkhotakota,2019,4,5597,92,92,92,4159,54,3794
Nkhotakota,2020,1,4711,125,29,125,4530,50,3780
Nkhotakota,2020,2,4460,104,43,105,4186,42,3590
Nkhotakota,2020,3,4661,87,79,87,4380,52,3437
Nkhotakota,2020,4,4202,105,30,105,3912,34,3349
Nkhotakota,2021,1,4626,82,50,81,4268,49,3445
Nkhotakota,2021,2,4412,104,44,102,4073,44,3535
Nkhotakota,2021,3,4533,84,116,83,4062,48,3516
Nkhotakota,2021,4,4266,89,13,88,4074,50,3424
Nkhotakota,2022,1,4661,103,15,103,4266,48,3815
Nsanje,2011,3,4485,135,143,0,3804,349,2428
Nsanje,2011,4,3992,128,14,0,3469,264,2497
Nsanje,2012,1,4313,117,14,0,3629,268,2507
Nsanje,2012,2,3497,96,28,166,2525,162,2374
