iso3,area_id,map_level,map_name,map_id,map_source
CIV,CIV_1_33nc,1,Worodougou,k0YgiUwf6v2,Datim
CIV,CIV_2_001ze,2,Abobo-Est,m4hsNX3VTKP,Datim
CIV,CIV_2_002ji,2,Abobo-Ouest,z3MzML1mYwh,Datim
CIV,CIV_2_003ou,2,Anyama,VRjvwkJGXTH,Datim
CIV,CIV_2_004nq,2,Yopougon-Est,FWBih8friTu,Datim
CIV,CIV_2_005pp,2,Yopougon-Ouest-Songon,ejiEtWEM5cz,Datim
CIV,CIV_2_006tw,2,Adjame-Plateau-Attecoube,srjx8SafsPP,Datim
CIV,CIV_2_007ha,2,Cocody-Bingerville,uum3VZlFaKv,Datim
CIV,CIV_2_008wj,2,Koumassi,SA1Avn20OIg,Datim
CIV,CIV_2_009cc,2,Port-Bouet-Vridi,JWHZQPi2FZX,Datim
CIV,CIV_2_010vd,2,Treichville-Marcory,eGcjUV99Zdo,Datim
CIV,CIV_2_011kt,2,Agboville,gn6vC2809So,Datim
CIV,CIV_2_012mv,2,Sikensi,gbHb3TqpYeF,Datim
CIV,CIV_2_013xi,2,Tiassale,WqS5Tgu9lhn,Datim
CIV,CIV_2_014gb,2,Koro,jn2oT2EqFHV,Datim
CIV,CIV_2_015ue,2,Ouaninou,LHT1bZaObZi,Datim
CIV,CIV_2_016xf,2,Touba,HJBwHZDHtwK,Datim
CIV,CIV_2_017vo,2,Boundiali,AY20w05Wc9q,Datim
CIV,CIV_2_018qb,2,Kouto,C06ksmRUqhQ,Datim
CIV,CIV_2_019ov,2,Tengrela,GZd9VUpRF9b,Datim
CIV,CIV_2_020sr,2,Didievi,AsDwMb164Ar,Datim
CIV,CIV_2_021yn,2,Tiebissou,rDXPCsGXk80,Datim
CIV,CIV_2_022wj,2,Toumodi,KaRkZKjlJS9,Datim
CIV,CIV_2_023vb,2,Yamoussoukro,eOaGQybIP0i,Datim
CIV,CIV_2_024aw,2,Dianra,u3unejleNk6,Datim
CIV,CIV_2_025ng,2,Kounahiri,GCgFTT50sU8,Datim
CIV,CIV_2_026oc,2,Mankono,tqjCSI7HOIk,Datim
CIV,CIV_2_027qw,2,Bouna,jsjlSkJ8fZ2,Datim
CIV,CIV_2_028ys,2,Doropo,pBR0kgpRXso,Datim
CIV,CIV_2_029qq,2,Nassian,Fm5lj3ydz01,Datim
CIV,CIV_2_030sq,2,Tehini,vdKJdMM5Vsa,Datim
CIV,CIV_2_031lg,2,Blolequin,psRnKDD6jKN,Datim
CIV,CIV_2_032lc,2,Guiglo,rjpRCyaSOka,Datim
CIV,CIV_2_033tn,2,Tai,PkzJUGMTD1e,Datim
CIV,CIV_2_034vv,2,Toulepleu,bPFRu7vkAx4,Datim
CIV,CIV_2_035yh,2,Kaniasso,yPDsUlyJxHL,Datim
CIV,CIV_2_036ec,2,Minignan,FeQubuYk5yj,Datim
CIV,CIV_2_037jr,2,Beoumi,QI4qaQRoEcK,Datim
CIV,CIV_2_038kb,2,Botro,mJ7BXJZjbgW,Datim
CIV,CIV_2_039vx,2,Bouake-Nord-Est,AewGtVAXTpR,Datim
CIV,CIV_2_040ou,2,Bouake-Nord-Ouest,ycvc2l2qqUE,Datim
CIV,CIV_2_041xc,2,Bouake-Sud,y7RJkbRqgJT,Datim
CIV,CIV_2_042df,2,Sakassou,F5ehlSubWUq,Datim
CIV,CIV_2_043fq,2,Fresco,ZCxKKMtE0hA,Datim
CIV,CIV_2_044hm,2,Sassandra,xrTVfYGnCAq,Datim
