calendar_quarter,area_level,area_name,age_group,median,lower,upper
CY2007Q2,3,Thyolo,35-39,0.12808054474013392,0.11661219460776201,0.1397394502774864
CY2007Q2,3,Thyolo,40-44,0.07044635116064521,0.06125300564431578,0.08044026052166199
CY2007Q2,3,Thyolo,45-49,0.026891743560175964,0.02118203574239395,0.033308468413739675
CY2008Q2,3,Thyolo,15-19,0.1749038572417949,0.1629229100863152,0.18719176511949148
CY2008Q2,3,Thyolo,20-24,0.24763492889217273,0.23276611849016082,0.2635069579712999
CY2008Q2,3,Thyolo,25-29,0.20634486994337875,0.19306870332898626,0.22064153512204324
CY2008Q2,3,Thyolo,30-34,0.17121686023984622,0.15836255736224888,0.1835777842962892
CY2008Q2,3,Thyolo,35-39,0.1242481051737659,0.11365981067902058,0.13531389622012324
CY2008Q2,3,Thyolo,40-44,0.06828287219908466,0.05928027574826017,0.07755811472504001
CY2008Q2,3,Thyolo,45-49,0.025965858872648857,0.020547909606986176,0.03189929292499527
CY2009Q2,3,Thyolo,15-19,0.16468803618819539,0.1529935853192302,0.17634218500825985
CY2009Q2,3,Thyolo,20-24,0.23971562213282593,0.22461112963788327,0.2546583062212083
CY2009Q2,3,Thyolo,25-29,0.19943724089483092,0.18655690272535336,0.21244864631901506
CY2009Q2,3,Thyolo,30-34,0.16714147828651585,0.15482066768134742,0.17945818570292735
CY2009Q2,3,Thyolo,35-39,0.12099615386364751,0.11019933929252301,0.13161108083803105
CY2009Q2,3,Thyolo,40-44,0.0645673102829119,0.0563908861504903,0.07351585638212861
CY2009Q2,3,Thyolo,45-49,0.024570888132760774,0.019376288092651364,0.03024227353493629
CY2010Q2,3,Thyolo,15-19,0.16299471407514177,0.15140219861226104,0.17510233558385777
CY2010Q2,3,Thyolo,20-24,0.23723447747178938,0.22162854160656656,0.2531485752272202
CY2010Q2,3,Thyolo,25-29,0.195187976260132,0.18164173707074888,0.20866284760784115
CY2010Q2,3,Thyolo,30-34,0.15987072088457,0.1478557496909146,0.172253255355473
CY2010Q2,3,Thyolo,35-39,0.11183802850423004,0.1016408695417968,0.12238130028820429
CY2010Q2,3,Thyolo,40-44,0.059089716543358053,0.051358463458277034,0.06722333219735127
CY2010Q2,3,Thyolo,45-49,0.022397489657529756,0.017553044402380893,0.027572623033809234
CY2011Q2,3,Thyolo,15-19,0.15975981168464692,0.14751571544071218,0.172554562532877
CY2011Q2,3,Thyolo,20-24,0.23045812957030262,0.21389754919496362,0.24707059332937498
CY2011Q2,3,Thyolo,25-29,0.1874352990772175,0.1734998048698358,0.20201134561745332
CY2011Q2,3,Thyolo,30-34,0.1516278889904607,0.1392898472135866,0.1645023084235586
CY2011Q2,3,Thyolo,35-39,0.1039042157721871,0.09387216313096411,0.11410182402264382
CY2011Q2,3,Thyolo,40-44,0.05442705824249226,0.04715798899663865,0.06227064199085045
CY2011Q2,3,Thyolo,45-49,0.020696482344652344,0.016197924723697372,0.025600451043896747
CY2012Q2,3,Thyolo,15-19,0.1569694364915633,0.14514476524463293,0.1696893380168613
CY2012Q2,3,Thyolo,20-24,0.22669604876606428,0.20986947810043396,0.24401089203897033
CY2012Q2,3,Thyolo,25-29,0.18261690917890286,0.16824034282944247,0.19698604401164097
CY2012Q2,3,Thyolo,30-34,0.14488819898597738,0.13243059527404072,0.15738355832193773
CY2012Q2,3,Thyolo,35-39,0.09851670726057168,0.08855563217678367,0.1083952675809638
CY2012Q2,3,Thyolo,40-44,0.05139468733853021,0.04429692462830385,0.05900760357239277
CY2012Q2,3,Thyolo,45-49,0.019659310877829277,0.015262420944887216,0.024319682951998378
CY2013Q2,3,Thyolo,15-19,0.14595699546094792,0.13437873112787005,0.1580128798181488
CY2013Q2,3,Thyolo,20-24,0.20896597197914635,0.1935528661282761,0.22520973985712284
CY2013Q2,3,Thyolo,25-29,0.1673361090759463,0.15412275635303913,0.18044496464503929
CY2013Q2,3,Thyolo,30-34,0.13243933387055268,0.12101692171644898,0.14419151811283573
CY2013Q2,3,Thyolo,35-39,0.09030241983985257,0.08116823703535948,0.09952914442818557
CY2013Q2,3,Thyolo,40-44,0.046708888134014456,0.04034823987866389,0.053522358551671666
CY2013Q2,3,Thyolo,45-49,0.01779059464018349,0.013860463694582634,0.02201598210162708
CY2014Q2,3,Thyolo,15-19,0.1437852156715944,0.13181351878075545,0.1558408302081201
CY2014Q2,3,Thyolo,20-24,0.20065735738386636,0.18574060905888162,0.2168635552209922
CY2014Q2,3,Thyolo,25-29,0.15852181103234983,0.1454459639994965,0.17200115936219618
CY2014Q2,3,Thyolo,30-34,0.12433791940709388,0.11303395854225151,0.136068576282759
CY2014Q2,3,Thyolo,35-39,0.08346776651446246,0.07476865149925215,0.09258541029367963
CY2014Q2,3,Thyolo,40-44,0.04298308721086056,0.0370158536310802,0.04933605170711046
CY2014Q2,3,Thyolo,45-49,0.016376670055560344,0.012557186371146875,0.02030033429806547
CY2015Q2,3,Thyolo,15-19,0.14011725842354403,0.12765531070597358,0.15302593879736065
CY2015Q2,3,Thyolo,20-24,0.1921311225762629,0.17622905316230905,0.20896737411347502
CY2015Q2,3,Thyolo,25-29,0.1506543554420426,0.13691657440124405,0.16475210391669776
CY2015Q2,3,Thyolo,30-34,0.11795547197411904,0.10652440489482008,0.1297859127773908
CY2015Q2,3,Thyolo,35-39,0.07878580047324531,0.07012009996805296,0.08781264626007007
CY2015Q2,3,Thyolo,40-44,0.04079150837520029,0.03478830343968195,0.04737863467501796
CY2015Q2,3,Thyolo,45-49,0.015441750414917185,0.0118464391466943,0.019433892223163236
CY2016Q2,3,Thyolo,15-19,0.14087588190554912,0.12412016004006958,0.1574917377080663
CY2016Q2,3,Thyolo,20-24,0.19416696373301112,0.17264767683935278,0.21528175347395678
CY2016Q2,3,Thyolo,25-29,0.1516653057522014,0.1347013306139721,0.16960662034272372
CY2016Q2,3,Thyolo,30-34,0.1180306314193557,0.10425995265893208,0.13292165957015534
CY2016Q2,3,Thyolo,35-39,0.07892642080017695,0.06881721345513186,0.08969216092903665
CY2016Q2,3,Thyolo,40-44,0.04137544064114865,0.03450992306789879,0.04880439662620404
CY2016Q2,3,Thyolo,45-49,0.015725265592372195,0.011796435443090659,0.02005988967157966
CY2017Q2,3,Thyolo,15-19,0.14304574790901503,0.11809555925784827,0.17015471218131592
CY2017Q2,3,Thyolo,20-24,0.19808270435233197,0.16568703805599289,0.23274395015004468
CY2017Q2,3,Thyolo,25-29,0.1554060229557903,0.13054028386303107,0.18344677728764786
CY2017Q2,3,Thyolo,30-34,0.12179913327410476,0.10141980666955686,0.1441371596965503
CY2017Q2,3,Thyolo,35-39,0.08156871412032635,0.06773975891777792,0.09708559657065458
CY2017Q2,3,Thyolo,40-44,0.04320198545413477,0.03440737625566694,0.05288898276839848
CY2017Q2,3,Thyolo,45-49,0.016306316808039886,0.011869673904267136,0.021616969183327298
